COD_PROV,NOMBRE,DOMICILIO,COD_CIU,FECHA_ALTA
0,"Konwinski, Toccara","LEWISTON-NEZ PERCE COUNTY AIRPORT, 406 BURRELL AVE., SUITE 301",12,1981-12-25T21:36:36Z
1,"Weibel, Gilberto",1960 JOE CROSSON DRIVE,27,1983-10-03T10:14:43Z
2,"Lavery, Benedict",6860 GLACIER HIGHWAY,8,2014-01-02T19:28:12Z
3,"Oursler, Basil","50 STATE ST, STE 7",28,1940-05-24T08:29:15Z
4,"Old, Belva","GOGEBIC CO COURTHOUSE, 200 N MOORE ST",10,1988-09-20T23:03:15Z
5,"Aubrecht, Veronica",2515 SUMMER STREET,24,1943-06-17T16:26:01Z
6,"Zorman, Ginger",PO BOX 112506,18,1963-09-30T01:39:15Z
7,"Laughery, Gladys",1891-9TH ST/BROOKLEY COMPLEX,36,2021-01-20T00:20:10Z
8,"Rudack, Julian",2301 PEGER RD,47,2021-05-26T20:07:29Z
,"Mew, Anton",8500 GARFIELD RD STE 101,17,1981-06-06T19:27:04Z
10,"Koper, Antonio",BOX 1059,23,1952-02-23T23:50:45Z
11,"Trevey, Gladis",602 S. MAIN STREET,22,2025-04-02T01:49:09Z
12,"Bonaguidi, Sabine",PO BOX 2829,34,1986-11-29T04:58:09Z
13,"Flournay, Ty","3824 MOBERG DRIVE, STE. 101",33,1985-05-17T04:55:51Z
14,"Pinsky, Antonetta","3800 AIRPORT ROAD, SUITE 209",26,1986-08-16T05:15:26Z
15,"Kantz, Judson",3375 AIRPORT ROAD,41,1961-02-04T10:32:58Z
16,"Stoor, Tommy",10 PUBLIC SQUARE,1,1942-08-04T10:15:41Z
17,"Mcgraff, Glenn",2301 PEGER RD,15,1979-11-03T21:58:17Z
18,"Esmay, Annmarie",PO BOX 2170,2,1941-11-22T18:50:00Z
19,"Orouke, Tomasa",2301 PEGER RD,40,1935-04-28T14:46:47Z
20,"Tenda, Wynona",PO BOX 158,20,2024-05-15T21:45:08Z
21,"Sibbald, Fran",SELECTMAN'S OFFICE,46,1978-06-15T21:53:02Z
22,"Gilliand, Florida","2525 HWY 75, SUITE 301",29,1930-03-15T13:35:18Z
23,"Detullio, Bart",PO BOX 398,13,1975-04-01T22:33:01Z
24,"Juback, Annetta",3250 W BRITT DAVID RD,5,2010-05-12T13:51:35Z
25,"Burgoyne, Ruthanne",18374 PHANTOM,25,1928-03-12T12:01:14Z
26,"Ladieu, Beata",425 N RICHARDSON,48,2001-06-04T23:14:53Z
27,"Applonie, Antoine",HONOLULU INTL ARPT,35,1950-07-12T17:13:19Z
28,"Zuelke, Tyrell",1449 AIRPORT ROAD,19,1978-06-07T08:08:13Z
29,"Namdar, Anneliese",PO BOX 60,30,2014-03-10T12:53:13Z
30,"Craver, Floy",1550 45TH AVE SE SUITE 1,31,1995-07-21T23:09:02Z
31,"Broadwell, Bebe","148 AVIATION LANE, SUITE 103",14,2000-04-29T20:41:55Z
32,"Montori, Ryan",BOX 390,32,2016-01-11T17:41:07Z
33,"Appleman, Yvonne",11013 AIRPORT HWY,42,2019-08-13T11:02:12Z
34,"Limthong, Gisele",2300 WEST WASHINGTON AVE,9,2000-12-19T06:17:32Z
35,,PO BOX 1898,16,1960-12-03T07:34:49Z
36,"Zaeske, Therese",6510 SE FORBES AVE #1,7,2016-01-12T10:12:20Z
,"Barger, Belinda",2301 PEGER ROAD,37,1971-01-10T08:35:24Z
38,"Elland, Francesco",155 BURR STREET,3,2014-04-14T09:59:03Z
39,"Beavin, Theodora",PO BOX 2210,44,1934-01-08T14:17:36Z
40,"Kulik, Vernita",CITY HALL,0,1974-05-24T06:37:38Z
41,"Mccrossen, Annice",55 INTERNATIONAL DRIVE,39,1963-09-23T03:43:36Z
42,"Stojanovic, Sabrina",ONE HARBORSIDE DR,45,2001-09-18T07:28:08Z
43,"Osterfeld, Bella",1395 N US HIGHWAY 31,6,1998-04-12T15:50:09Z
44,"Nishioka, Ruthe",BOX 1180,,1947-09-20T03:58:45Z
45,"Iraheta, Beatris",2301 PEGER RD,38,1929-11-27T18:52:12Z
46,"Hanagan, Basil",123 S LINCOLN ST,11,2002-06-13T19:27:45Z
47,"Deerman, Beau","13722 AIRPORT DRIVE, P.O. BOX 672",43,1946-04-18T12:17:23Z
48,"Ogden, Belen",100 WEST WASHINGTON ST,4,1956-04-10T16:48:41Z
